event_id,bin_start,bin_end,bin_mid,reviews,sentiment,rating,negative_share,one_star_share,sentiment_deviation
gfn5080,-21,-15,-18.0,23,-0.09578695652173912,2.3043478260869565,0.4782608695652174,0.5652173913043478,-0.29673095652173914
gfn5080,-14,-8,-11.0,23,0.20662608695652174,3.4347826086956523,0.21739130434782608,0.2608695652173913,0.005682086956521726
gfn5080,-7,-1,-4.0,27,0.1961037037037037,3.111111111111111,0.37037037037037035,0.37037037037037035,-0.004840296296296315
gfn5080,1,7,4.0,20,0.26685,2.9,0.25,0.4,0.06590599999999996
gfn5080,8,14,11.0,15,0.22391333333333333,2.533333333333333,0.26666666666666666,0.5333333333333333,0.022969333333333314
performance,-28,-22,-25.0,28,0.3351464285714285,3.142857142857143,0.25,0.39285714285714285,0.13574495798319322
performance,-21,-15,-18.0,36,0.19499444444444444,2.4722222222222223,0.3055555555555556,0.5555555555555556,-0.004407026143790849
performance,-14,-8,-11.0,30,0.19047666666666668,2.6666666666666665,0.3,0.5333333333333333,-0.008924803921568608
performance,-7,-1,-4.0,38,0.20644736842105263,2.9473684210526314,0.21052631578947364,0.42105263157894735,0.007045897832817338
performance,1,7,4.0,45,0.11925999999999998,2.4,0.26666666666666666,0.6222222222222222,-0.08014147058823531
performance,8,14,11.0,32,0.210746875,2.46875,0.28125,0.5625,0.011345404411764709
priority,-28,-22,-25.0,38,0.24991052631578944,2.8947368421052633,0.15789473684210525,0.34210526315789475,0.0023542763157894386
priority,-21,-15,-18.0,31,0.08485806451612903,2.806451612903226,0.3548387096774194,0.45161290322580644,-0.162698185483871
priority,-14,-8,-11.0,18,0.24652777777777782,3.388888888888889,0.16666666666666666,0.3333333333333333,-0.0010284722222221876
priority,-7,-1,-4.0,30,0.2481733333333333,3.6666666666666665,0.1,0.23333333333333334,0.0006170833333332959
priority,1,7,4.0,41,0.28541463414634144,3.097560975609756,0.21951219512195122,0.36585365853658536,0.037858384146341434
priority,8,14,11.0,33,0.3786727272727272,3.696969696969697,0.12121212121212122,0.18181818181818182,0.1311164772727272
ultimate,-28,-22,-25.0,81,0.20551481481481482,2.753086419753086,0.19753086419753085,0.3950617283950617,0.10871481481481483
ultimate,-21,-15,-18.0,119,0.15290084033613444,2.9243697478991595,0.226890756302521,0.3865546218487395,0.05610084033613445
ultimate,-14,-8,-11.0,101,0.051602970297029704,2.3069306930693068,0.3564356435643564,0.504950495049505,-0.04519702970297028
ultimate,-7,-1,-4.0,113,0.13719734513274334,2.690265486725664,0.30973451327433627,0.36283185840707965,0.04039734513274336
ultimate,1,7,4.0,85,0.15187058823529406,2.0941176470588236,0.27058823529411763,0.5764705882352941,0.05507058823529408
ultimate,8,14,11.0,63,0.17896349206349202,2.5714285714285716,0.25396825396825395,0.5079365079365079,0.08216349206349204
